epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2346.45,0.77369,0.46891,1.05894,0.98043,0.9632,0.97833,0.86084,0.7226,0.42823,1.02971,0.000689,0.000689,0.000689
138,2363.27,0.77961,0.4762,1.06651,0.9811,0.96491,0.9791,0.86315,0.71854,0.41838,1.02751,0.000684875,0.000684875,0.000684875
139,2380.14,0.76654,0.4647,1.05905,0.98239,0.96519,0.97896,0.86273,0.72982,0.41726,1.03201,0.00068075,0.00068075,0.00068075
140,2397.28,0.76366,0.46649,1.05783,0.98378,0.96605,0.98012,0.86414,0.72196,0.41729,1.02783,0.000676625,0.000676625,0.000676625
141,2414.39,0.77639,0.46651,1.05609,0.98681,0.96576,0.98234,0.86244,0.72033,0.41413,1.02283,0.0006725,0.0006725,0.0006725
142,2431.08,0.7753,0.46859,1.06463,0.98113,0.9627,0.98024,0.86303,0.71175,0.41359,1.02582,0.000668375,0.000668375,0.000668375
143,2447.96,0.76013,0.45192,1.05146,0.98298,0.96157,0.97967,0.86427,0.73171,0.42006,1.03464,0.00066425,0.00066425,0.00066425
144,2465.55,0.75417,0.46161,1.05544,0.98443,0.9621,0.97929,0.86387,0.7147,0.41046,1.02688,0.000660125,0.000660125,0.000660125
145,2482.25,0.74839,0.45455,1.05324,0.97771,0.96347,0.98052,0.86565,0.71806,0.41488,1.02628,0.000656,0.000656,0.000656
146,2498.9,0.76445,0.46857,1.0634,0.98406,0.95645,0.97935,0.86029,0.72827,0.42383,1.03624,0.000651875,0.000651875,0.000651875
147,2515.66,0.74947,0.45287,1.05066,0.98337,0.96138,0.98022,0.86495,0.70563,0.41261,1.02327,0.00064775,0.00064775,0.00064775
148,2533.17,0.74668,0.44562,1.04801,0.9809,0.95874,0.9796,0.86954,0.70178,0.41324,1.01187,0.000643625,0.000643625,0.000643625
149,2550.08,0.74005,0.45367,1.05007,0.97108,0.97154,0.97994,0.86555,0.71527,0.41817,1.02303,0.0006395,0.0006395,0.0006395
150,2567.16,0.74312,0.4508,1.05239,0.98194,0.9637,0.97995,0.86843,0.70326,0.40765,1.01753,0.000635375,0.000635375,0.000635375
151,2584.55,0.73611,0.44591,1.03795,0.98399,0.96504,0.98022,0.86985,0.70063,0.4075,1.01764,0.00063125,0.00063125,0.00063125
152,2601.59,0.74349,0.45079,1.05497,0.9858,0.96291,0.97996,0.86664,0.70651,0.40793,1.02125,0.000627125,0.000627125,0.000627125
153,2618.45,0.73234,0.44665,1.04018,0.98897,0.96378,0.98092,0.86638,0.70478,0.40897,1.00994,0.000623,0.000623,0.000623
154,2635.1,0.73389,0.43996,1.03789,0.98282,0.96217,0.98032,0.86483,0.70335,0.41377,1.01242,0.000618875,0.000618875,0.000618875
155,2652.75,0.72252,0.4403,1.04028,0.97851,0.96691,0.98131,0.86895,0.7064,0.41211,1.02262,0.00061475,0.00061475,0.00061475
156,2669.55,0.73701,0.44189,1.04701,0.98327,0.9676,0.98076,0.87325,0.70136,0.40411,1.02163,0.000610625,0.000610625,0.000610625
157,2686.2,0.73951,0.44456,1.05004,0.98271,0.96575,0.97994,0.87019,0.70253,0.40643,1.01641,0.0006065,0.0006065,0.0006065
158,2703.52,0.72464,0.43398,1.04277,0.98393,0.9646,0.97985,0.87205,0.70542,0.41664,1.01983,0.000602375,0.000602375,0.000602375
159,2720.42,0.72569,0.43604,1.02913,0.9802,0.96363,0.98022,0.87124,0.70053,0.40585,1.01334,0.00059825,0.00059825,0.00059825
160,2737.36,0.72764,0.4393,1.0371,0.97837,0.96529,0.97894,0.87349,0.69638,0.41737,1.01685,0.000594125,0.000594125,0.000594125
161,2754.08,0.72343,0.44001,1.0302,0.97644,0.96992,0.97992,0.87076,0.70615,0.40781,1.02389,0.00059,0.00059,0.00059
162,2771.87,0.72497,0.43626,1.04597,0.97594,0.96303,0.97721,0.87195,0.70316,0.41684,1.01789,0.000585875,0.000585875,0.000585875
163,2788.68,0.71802,0.43312,1.03357,0.9778,0.9701,0.97935,0.86866,0.71707,0.40945,1.02533,0.00058175,0.00058175,0.00058175
164,2805.46,0.72403,0.43993,1.04397,0.98629,0.96463,0.97948,0.87306,0.70927,0.40759,1.02079,0.000577625,0.000577625,0.000577625
165,2822.92,0.7114,0.43075,1.03674,0.97669,0.97207,0.97937,0.87171,0.71142,0.41665,1.02684,0.0005735,0.0005735,0.0005735
166,2839.99,0.71577,0.43586,1.0394,0.98165,0.96508,0.98002,0.86898,0.71546,0.41497,1.03235,0.000569375,0.000569375,0.000569375
167,2856.86,0.72292,0.43555,1.04038,0.97812,0.9662,0.98003,0.87019,0.7099,0.40358,1.02622,0.00056525,0.00056525,0.00056525
168,2873.58,0.72388,0.44077,1.04441,0.97968,0.96675,0.98111,0.87136,0.69533,0.39703,1.01111,0.000561125,0.000561125,0.000561125
169,2891.38,0.71008,0.42624,1.02248,0.98268,0.96654,0.98103,0.87467,0.70587,0.39783,1.02346,0.000557,0.000557,0.000557
170,2908.48,0.70578,0.42317,1.02901,0.98277,0.96529,0.9795,0.87099,0.70522,0.40307,1.02267,0.000552875,0.000552875,0.000552875
171,2925.27,0.69824,0.41812,1.03285,0.9812,0.96257,0.98014,0.8701,0.70739,0.39739,1.03093,0.00054875,0.00054875,0.00054875
172,2942.44,0.70664,0.42804,1.02931,0.98436,0.96693,0.98153,0.8735,0.70433,0.38982,1.02251,0.000544625,0.000544625,0.000544625
173,2959.48,0.7053,0.42845,1.03185,0.9811,0.96447,0.98124,0.87078,0.71975,0.40357,1.03213,0.0005405,0.0005405,0.0005405
174,2976.14,0.71451,0.42404,1.03375,0.98749,0.96471,0.98057,0.87109,0.72078,0.39692,1.03389,0.000536375,0.000536375,0.000536375
175,2993.13,0.69888,0.42163,1.02331,0.98129,0.96487,0.97906,0.87184,0.72017,0.4068,1.03248,0.00053225,0.00053225,0.00053225
176,3010.67,0.68203,0.41187,1.01487,0.98334,0.96665,0.98021,0.86841,0.71084,0.40269,1.01986,0.000528125,0.000528125,0.000528125
177,3027.35,0.6933,0.41441,1.01829,0.97892,0.959,0.97906,0.8703,0.71053,0.40279,1.01992,0.000524,0.000524,0.000524
178,3044.04,0.70726,0.42354,1.02673,0.98267,0.96472,0.98045,0.86835,0.71729,0.40179,1.02718,0.000519875,0.000519875,0.000519875
179,3061.1,0.70514,0.42664,1.02154,0.97733,0.96906,0.97937,0.8749,0.70882,0.39503,1.018,0.00051575,0.00051575,0.00051575
180,3078.21,0.69081,0.4211,1.01832,0.98288,0.9624,0.98069,0.87116,0.70952,0.39662,1.02425,0.000511625,0.000511625,0.000511625
